
#ScanTableParameter1
&kV=40	&mA=40
&ScanAxis=M	&ScanMode=Stepscan	
&Start=10.000	&End=120.000	&Step=0.01000	&Time=4.0	&Counts=0
&Speed=0.1	&Area=0.0	&Accu=1
&NoAxis=5
&Axis=O	&Task=GetPosition	&Pos=20.66900	&Ampl=0.000	&Speed=0.0
&Axis=T	&Task=GetPosition	&Pos=21.00600	&Ampl=0.000	&Speed=0.0
&Axis=C	&Task=GetPosition	&Pos=-9.00000	&Ampl=0.000	&Speed=0.0
&Axis=P	&Task=GetPosition	&Pos=0.00000	&Ampl=0.000	&Speed=0.0
&Axis=AC	&Task=GetPosition	&Pos=1.00000	&Ampl=0.000	&Speed=0.0

#Values1
&NoValues=11001
  18.15000	    22.000	
  18.16000	    23.500	
  18.17000	    22.000	
  18.18000	    21.500	
  18.19000	    26.750	
  18.20000	    23.750	
  18.21000	    18.000	
  18.22000	    22.500	
  18.23000	    24.000	
  18.24000	    27.500	
  18.25000	    19.250	
  18.26000	    21.250	
  18.27000	    24.500	
  18.28000	    24.250	
  18.29000	    24.500	
  18.30000	    18.000	
  18.31000	    21.500	
  18.32000	    19.500	
  18.33000	    22.000	
  18.34000	    24.000	
  18.35000	    21.000	
  18.36000	    18.500	
  18.37000	    24.250	
  18.38000	    20.750	
  18.39000	    21.250	
  18.40000	    21.750	
  18.41000	    26.000	
  18.42000	    23.500	
  18.43000	    26.750	
  18.44000	    22.500	
  18.45000	    23.250	
  18.46000	    24.500	
  18.47000	    25.000	
  18.48000	    21.750	
  18.49000	    19.250	
  18.50000	    23.000	
  18.51000	    21.000	
  18.52000	    24.750	
  18.53000	    25.000	
  18.54000	    22.750	
  18.55000	    20.750	
  18.56000	    21.000	
  18.57000	    20.500	
  18.58000	    23.500	
  18.59000	    23.000	
  18.60000	    21.750	
  18.61000	    25.250	
  18.62000	    22.750	
  18.63000	    24.500	
  18.64000	    18.000	
  18.65000	    23.750	
  18.66000	    23.250	
  18.67000	    26.000	
  18.68000	    27.500	
  18.69000	    21.250	
  18.70000	    17.000	
  18.71000	    19.500	
  18.72000	    22.000	
  18.73000	    20.500	
  18.74000	    24.250	
  18.75000	    24.750	
  18.76000	    21.750	
  18.77000	    22.500	
  18.78000	    21.750	
  18.79000	    21.000	
  18.80000	    18.750	
  18.81000	    18.250	
  18.82000	    23.000	
